file	1000	2000	3000	4000	5000	6000	7000	8000	9000	10000	11000	12000	13000	14000	15000	16000	17000	18000	19000	20000
mm10_forebrain_embryo_d11.5_PE_bio1_ENCLB512IZL	39.51	33.71	30.45	28.27	26.46	25.01	23.92	22.83	21.75	21.02	20.30	19.57	19.21	18.48	18.12	17.76	17.40	17.03	16.67	16.31
mm10_forebrain_embryo_d11.5_PE_bio2_ENCLB477WAK	40.41	34.42	30.68	28.43	26.56	25.07	23.57	22.45	21.70	20.95	20.20	19.45	18.70	18.33	17.96	17.58	17.21	16.83	16.46	16.08
mm10_forebrain_embryo_d12.5_PE_bio1_ENCLB949MHR	50.36	42.29	38.06	34.98	32.68	30.75	29.22	28.06	26.91	25.76	24.60	23.83	23.06	22.30	21.91	21.14	20.76	20.37	19.99	19.60
mm10_forebrain_embryo_d12.5_PE_bio2_ENCLB124JXC	33.10	28.63	26.03	24.17	22.68	21.57	20.45	19.71	18.96	18.22	17.48	17.10	16.73	16.36	15.99	15.62	15.24	14.87	14.87	14.50
mm10_forebrain_embryo_d13.5_PE_bio1_ENCLB429FVW	61.80	50.96	44.94	40.53	37.72	35.31	32.90	31.30	29.69	28.49	27.28	26.48	25.68	24.88	24.07	23.27	22.87	22.47	21.67	21.26
mm10_forebrain_embryo_d13.5_PE_bio2_ENCLB589ZDE	63.58	53.23	46.94	43.25	39.92	37.33	35.48	33.64	32.16	30.68	29.57	28.46	27.35	26.61	25.87	25.13	24.39	24.02	23.28	22.92
mm10_forebrain_embryo_d14.5_PE_bio1_ENCLB252ZLC	60.39	51.52	46.54	42.66	39.89	37.67	36.01	34.35	32.69	31.58	30.47	29.36	28.25	27.14	26.59	26.04	25.48	24.93	24.37	23.82
mm10_forebrain_embryo_d14.5_PE_bio2_ENCLB312MJN	78.50	65.68	58.07	52.87	48.86	46.06	43.25	41.25	39.25	37.65	36.04	34.84	33.64	32.44	31.24	30.44	29.63	28.83	28.43	27.63
mm10_forebrain_embryo_d15.5_PE_bio1_ENCLB476DGD	65.05	53.74	47.14	42.90	39.60	37.24	34.88	33.00	31.58	30.17	28.75	27.81	26.87	25.92	25.45	24.51	24.04	23.57	23.10	22.62
mm10_forebrain_embryo_d15.5_PE_bio2_ENCLB997YQF	57.24	47.63	42.03	38.43	35.62	33.22	31.22	30.02	28.42	27.22	26.42	25.22	24.42	23.61	23.21	22.41	22.01	21.61	21.21	20.41
mm10_forebrain_embryo_d16.5_PE_bio1_ENCLB194THE	83.01	67.57	59.36	53.57	49.23	45.85	42.95	41.02	38.61	37.16	35.71	34.26	32.82	31.85	30.89	30.40	29.44	28.47	27.99	27.51
